,num_primo
1065,18439
1066,18443
1067,18451
1068,18503
1069,18523
1070,18539
1071,18583
1072,18587
1073,18671
1074,18679
1075,18691
1076,18719
1077,18731
1078,18743
1079,18787
1080,18803
1081,18839
1082,18859
1083,18899
1084,18911
1085,18919
1086,18947
1087,18959
1088,18979
1089,19031
1090,19051
1091,19079
1092,19087
1093,19139
1094,19163
1095,19183
1096,19207
1097,19211
1098,19219
1099,19231
1100,19259
1101,19267
1102,19319
1103,19379
1104,19387
1105,19391
1106,19403
1107,19423
1108,19427
1109,19447
1110,19463
1111,19471
1112,19483
1113,19507
1114,19531
1115,19543
1116,19559
1117,19571
1118,19583
1119,19603
1120,19687
1121,19699
1122,19727
1123,19739
1124,19751
1125,19759
1126,19763
1127,19819
1128,19843
1129,19867
1130,19891
1131,19919
1132,19927
1133,19963
1134,19979
1135,19991
1136,20011
1137,20023
1138,20047
1139,20051
1140,20063
1141,20071
1142,20107
1143,20123
1144,20143
1145,20147
1146,20183
1147,20219
1148,20231
1149,20287
1150,20323
1151,20327
1152,20347
1153,20359
1154,20399
1155,20407
1156,20411
1157,20431
1158,20443
1159,20479
1160,20483
1161,20507
1162,20543
1163,20551
1164,20563
1165,20599
1166,20611
1167,20627
1168,20639
1169,20663
1170,20707
1171,20719
1172,20731
1173,20743
1174,20747
1175,20759
1176,20771
1177,20807
1178,20879
1179,20887
1180,20899
1181,20903
1182,20939
1183,20947
1184,20959
1185,20963
1186,20983
1187,21011
1188,21019
1189,21023
1190,21031
1191,21059
1192,21067
1193,21107
1194,21139
1195,21143
1196,21163
1197,21179
1198,21187
1199,21191
1200,21211
1201,21227
1202,21247
1203,21283
1204,21319
1205,21323
1206,21347
1207,21379
1208,21383
1209,21391
1210,21407
1211,21419
1212,21467
1213,21487
1214,21491
1215,21499
1216,21503
1217,21523
1218,21559
1219,21563
1220,21587
1221,21599
1222,21611
1223,21647
1224,21683
1225,21727
1226,21739
1227,21751
1228,21767
1229,21787
1230,21799
1231,21803
1232,21839
1233,21851
1234,21859
1235,21863
1236,21871
1237,21911
1238,21943
1239,21991
1240,22003
1241,22027
1242,22031
1243,22039
1244,22051
1245,22063
1246,22067
1247,22079
1248,22091
1249,22111
1250,22123
1251,22147
1252,22159
1253,22171
1254,22247
1255,22259
1256,22271
1257,22279
1258,22283
1259,22291
1260,22303
1261,22307
1262,22343
1263,22367
1264,22391
1265,22447
1266,22483
1267,22511
1268,22531
1269,22543
1270,22567
1271,22571
1272,22619
1273,22639
1274,22643
1275,22651
1276,22679
1277,22691
1278,22699
1279,22727
1280,22739
1281,22751
1282,22783
1283,22787
1284,22807
1285,22811
1286,22859
1287,22871
1288,22907
1289,22943
1290,22963
1291,23003
1292,23011
1293,23027
1294,23039
1295,23059
1296,23063
1297,23071
1298,23087
1299,23099
1300,23131
1301,23143
1302,23159
1303,23167
1304,23203
1305,23227
1306,23251
1307,23279
1308,23291
1309,23311
1310,23327
1311,23339
1312,23371
1313,23399
1314,23431
1315,23447
1316,23459
1317,23531
1318,23539
1319,23563
1320,23567
1321,23599
1322,23603
1323,23623
1324,23627
1325,23663
1326,23671
1327,23687
1328,23719
1329,23743
1330,23747
1331,23767
1332,23819
1333,23827
1334,23831
1335,23879
1336,23887
1337,23899
1338,23911
1339,23971
1340,24007
1341,24019
1342,24023
1343,24043
1344,24071
1345,24083
1346,24091
1347,24103
1348,24107
1349,24151
1350,24179
1351,24203
1352,24223
1353,24239
1354,24247
1355,24251
1356,24359
1357,24371
1358,24379
1359,24391
1360,24407
1361,24419
1362,24439
1363,24443
1364,24499
1365,24527
1366,24547
1367,24551
1368,24571
1369,24611
1370,24623
1371,24631
1372,24659
1373,24671
1374,24683
1375,24691
1376,24763
1377,24767
1378,24799
1379,24847
1380,24851
1381,24859
1382,24907
1383,24919
1384,24923
1385,24943
1386,24967
1387,24971
1388,24979
1389,25031
1390,25087
1391,25111
1392,25127
1393,25147
1394,25163
1395,25171
1396,25183
1397,25219
1398,25243
1399,25247
1400,25303
1401,25307
1402,25339
1403,25343
1404,25367
1405,25391
1406,25411
1407,25423
1408,25439
1409,25447
1410,25463
1411,25471
1412,25523
1413,25579
1414,25583
1415,25603
1416,25639
1417,25643
1418,25667
1419,25679
1420,25703
1421,25747
1422,25759
1423,25763
1424,25771
1425,25799
1426,25819
1427,25847
1428,25867
1429,25903
1430,25919
1431,25931
1432,25939
1433,25943
1434,25951
1435,25999
1436,26003
1437,26083
1438,26099
1439,26107
1440,26111
1441,26119
1442,26171
1443,26183
1444,26203
1445,26227
1446,26251
1447,26263
1448,26267
1449,26339
1450,26347
1451,26371
1452,26387
1453,26399
1454,26407
1455,26423
1456,26431
1457,26459
1458,26479
1459,26539
1460,26591
1461,26627
1462,26647
1463,26683
1464,26687
1465,26699
1466,26711
1467,26723
1468,26731
1469,26759
1470,26783
1471,26839
1472,26863
1473,26879
1474,26891
1475,26903
1476,26927
1477,26947
1478,26951
1479,26959
1480,26987
1481,27011
1482,27031
1483,27043
1484,27059
1485,27067
1486,27091
1487,27103
1488,27107
1489,27127
1490,27143
1491,27179
1492,27191
1493,27211
1494,27239
1495,27259
1496,27271
1497,27283
1498,27299
1499,27367
1500,27407
1501,27427
1502,27431
1503,27479
1504,27487
1505,27527
1506,27539
1507,27551
1508,27583
